SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,37335,OPTIDX,0,BANKNIFTY-Jun2024-31500-CE,15,BANKNIFTY 19 JUN 31500 CALL,19-06-2024 14:30,31500,CE,5,W,OP,,
NSE,D,37336,OPTIDX,0,BANKNIFTY-Jun2024-31500-PE,15,BANKNIFTY 19 JUN 31500 PUT,19-06-2024 14:30,31500,PE,5,W,OP,,
NSE,D,37337,OPTIDX,0,BANKNIFTY-Jun2024-32000-CE,15,BANKNIFTY 19 JUN 32000 CALL,19-06-2024 14:30,32000,CE,5,W,OP,,
NSE,D,37338,OPTIDX,0,BANKNIFTY-Jun2024-32000-PE,15,BANKNIFTY 19 JUN 32000 PUT,19-06-2024 14:30,32000,PE,5,W,OP,,
NSE,D,37344,OPTIDX,0,BANKNIFTY-Jun2024-40100-CE,15,BANKNIFTY 19 JUN 40100 CALL,19-06-2024 14:30,40100,CE,5,W,OP,,
NSE,D,37345,OPTIDX,0,BANKNIFTY-Jun2024-40100-PE,15,BANKNIFTY 19 JUN 40100 PUT,19-06-2024 14:30,40100,PE,5,W,OP,,
NSE,D,37346,OPTIDX,0,BANKNIFTY-Jun2024-40200-CE,15,BANKNIFTY 19 JUN 40200 CALL,19-06-2024 14:30,40200,CE,5,W,OP,,
NSE,D,37347,OPTIDX,0,BANKNIFTY-Jun2024-40200-PE,15,BANKNIFTY 19 JUN 40200 PUT,19-06-2024 14:30,40200,PE,5,W,OP,,
NSE,D,37348,OPTIDX,0,BANKNIFTY-Jun2024-58100-PE,15,BANKNIFTY 19 JUN 58100 PUT,19-06-2024 14:30,58100,PE,5,W,OP,,
NSE,D,37349,OPTIDX,0,BANKNIFTY-Jun2024-40300-CE,15,BANKNIFTY 19 JUN 40300 CALL,19-06-2024 14:30,40300,CE,5,W,OP,,
NSE,D,37350,OPTIDX,0,BANKNIFTY-Jun2024-40300-PE,15,BANKNIFTY 19 JUN 40300 PUT,19-06-2024 14:30,40300,PE,5,W,OP,,
NSE,D,37351,OPTIDX,0,BANKNIFTY-Jun2024-40400-CE,15,BANKNIFTY 19 JUN 40400 CALL,19-06-2024 14:30,40400,CE,5,W,OP,,
NSE,D,37355,OPTIDX,0,BANKNIFTY-Jun2024-58200-CE,15,BANKNIFTY 19 JUN 58200 CALL,19-06-2024 14:30,58200,CE,5,W,OP,,
NSE,D,37356,OPTIDX,0,BANKNIFTY-Jun2024-58200-PE,15,BANKNIFTY 19 JUN 58200 PUT,19-06-2024 14:30,58200,PE,5,W,OP,,
NSE,D,37361,OPTIDX,0,BANKNIFTY-Jun2024-58300-CE,15,BANKNIFTY 19 JUN 58300 CALL,19-06-2024 14:30,58300,CE,5,W,OP,,
NSE,D,37362,OPTIDX,0,BANKNIFTY-Jun2024-58300-PE,15,BANKNIFTY 19 JUN 58300 PUT,19-06-2024 14:30,58300,PE,5,W,OP,,
NSE,D,37363,OPTIDX,0,BANKNIFTY-Jun2024-58400-CE,15,BANKNIFTY 19 JUN 58400 CALL,19-06-2024 14:30,58400,CE,5,W,OP,,
NSE,D,37368,OPTIDX,0,BANKNIFTY-Jun2024-40400-PE,15,BANKNIFTY 19 JUN 40400 PUT,19-06-2024 14:30,40400,PE,5,W,OP,,
NSE,D,37369,OPTIDX,0,BANKNIFTY-Jun2024-40600-CE,15,BANKNIFTY 19 JUN 40600 CALL,19-06-2024 14:30,40600,CE,5,W,OP,,
NSE,D,37370,OPTIDX,0,BANKNIFTY-Jun2024-40600-PE,15,BANKNIFTY 19 JUN 40600 PUT,19-06-2024 14:30,40600,PE,5,W,OP,,
NSE,D,37373,OPTIDX,0,BANKNIFTY-Jun2024-40700-CE,15,BANKNIFTY 19 JUN 40700 CALL,19-06-2024 14:30,40700,CE,5,W,OP,,
NSE,D,37377,OPTIDX,0,BANKNIFTY-Jun2024-40700-PE,15,BANKNIFTY 19 JUN 40700 PUT,19-06-2024 14:30,40700,PE,5,W,OP,,
NSE,D,37380,OPTIDX,0,BANKNIFTY-Jun2024-58400-PE,15,BANKNIFTY 19 JUN 58400 PUT,19-06-2024 14:30,58400,PE,5,W,OP,,
NSE,D,37382,OPTIDX,0,BANKNIFTY-Jun2024-40800-CE,15,BANKNIFTY 19 JUN 40800 CALL,19-06-2024 14:30,40800,CE,5,W,OP,,
